6.4484	-1.1397
-9.2247	1.9825
1.8053	-7.0959
-8.5001	5.1435
-7.4934	-3.9755
3.1291	-6.8126
-9.2778	-0.83084
-7.7096	6.3318
6.4085	-0.34722
-1.4627	11.012
6.0649	1.222
-9.1135	1.1781
-4.8978	9.0082
-1.5031	11.152
-2.291	-7.6259
-9.3097	0.10506
5.9266	1.8244
-7.4807	-4.1829
-5.2655	9.2272
6.5623	1.2316
-5.6658	-6.0632
-0.54442	-7.5027
0.75215	-7.434
-3.0614	-7.4923
-6.5851	7.8426
2.7026	4.6182
-7.7947	-3.6153
-0.6888	-7.6935
5.6026	-4.5758
-5.8817	8.6008
3.9606	-5.947
-1.3797	4.4463
-9.0982	3.6842
-2.5891	2.608
-3.0916	0.28293
-1.1163	-7.4182
3.2351	4.4767
3.2462	4.6571
-8.0794	-2.7107
1.554	-7.103
6.5763	0.23243
-6.5154	-5.4267
-0.26572	-7.6126
-4.7995	9.4766
3.7809	-6.1886
1.8003	-7.295
-1.6912	-7.5028
2.9003	4.4926
-5.8775	-5.6796
4.6442	3.4484
-8.8622	-0.88337
-1.9369	10.742
-9.2908	0.21538
-7.8587	6.3631
-1.0307	-7.6321
4.8913	3.0789
-4.0033	-6.9091
-6.6391	7.73
4.8058	-5.3488
-4.0115	9.9853
-6.3325	-5.3299
-0.18195	5.0833
5.9885	1.9837
-0.17388	4.7414
-7.2407	7.5656
5.4025	-4.1059
-7.447	6.5397
4.2303	4.4126
1.2416	-7.2323
6.5043	-0.23794
6.397	1.4285
-8.9454	3.6048
-8.541	4.6689
-0.99828	10.895
-9.2725	0.90498
-7.0992	7.1629
5.4468	2.5522
0.61749	5.2098
-3.6343	-7.063
1.8848	-7.3709
-9.155	-0.36541
-8.2441	5.7944
-8.7172	-1.7855
-1.7742	3.9487
-6.7239	-5.0616
-7.1451	7.2825
-5.6746	-5.6817
-0.80722	11.068
-6.1107	-5.5835
-2.6153	10.654
-8.2937	5.1831
-0.092059	11.253
-6.6573	-5.5075
-9.1676	1.4199
-3.3831	-6.9888
6.0222	-2.9089
5.988	1.6017
-4.6433	9.6681
-9.1568	2.2943
1.4486	4.9222
-9.2719	-0.019591
-3.9292	9.8397
-8.7517	3.3132
6.2314	-2.9127
5.4863	2.3283
6.354	-2.6044
-8.9495	-0.063001
-3.7022	-6.903
-4.1189	-6.715
5.189	-4.4056
-9.1918	0.3465
-5.4377	-6.1111
-8.5059	-1.5818
-3.7913	-7.0312
3.381	-6.532
-4.4402	9.6517
2.2678	-7.0383
-6.7246	-5.1906
6.5105	1.1984
-1.3444	11.114
-5.7037	8.5408
6.4237	-0.33192
-5.4861	-6.2009
-1.0612	4.6335
-0.67474	-7.6402
3.7557	-6.3878
2.744	-6.9418
-1.4779	4.2622
6.4288	-1.6725
6.5072	-0.56935
6.5623	-0.075937
-9.2537	1.9554
6.4509	1.2528
3.73	-6.0891
6.3459	-2.9899
-5.4569	-5.8635
-7.6539	-4.0882
6.2469	-2.1519
5.22	2.8319
-6.0027	8.7591
5.9016	-3.918
-6.1688	-5.4673
-9.0107	-0.83955
-5.5249	8.7449
-1.1584	10.988
-7.5423	-4.3746
-8.3122	5.1962
-9.3625	2.1493
-1.5075	10.993
-9.0105	-1.5838
-6.7233	-5.0846
